index,time_range,text,google_translate,claude_translation,link
1,00:00 -> 00:05,this is a regular picture of Robert,Սա Robert- ի կանոնավոր պատկեր է,սա Ռոբերտի սովորական նկարն է,https://www.youtube.com/shorts/WVHw4-62rV4
2,00:02 -> 00:06,Oppenheimer and this is a photo of him,Oppenheimer- ը եւ սա նրա լուսանկարն է,Օպենհայմերը և սա նրա լուսանկարն է,https://www.youtube.com/shorts/WVHw4-62rV4
3,00:05 -> 00:08,by the greatest portrait photographer of,մեծագույն դիմանկարների լուսանկարիչով,,https://www.youtube.com/shorts/WVHw4-62rV4
4,00:06 -> 00:11,all,բոլորը,,https://www.youtube.com/shorts/WVHw4-62rV4
5,00:08 -> 00:14,time so what's the difference is it the,"Ժամանակը, որն է տարբերությունը",,https://www.youtube.com/shorts/WVHw4-62rV4
6,00:11 -> 00:16,lighting the environment the facial,Շրջակա միջավայրը դարբնոցով լուսավորելը,,https://www.youtube.com/shorts/WVHw4-62rV4
7,00:14 -> 00:18,expression these are all the work of,արտահայտություն սրանք բոլորն են,,https://www.youtube.com/shorts/WVHw4-62rV4
8,00:16 -> 00:21,Armenian photographer Yousef ksh who,Հայ լուսանկարիչ YouSEF KSH Ով է,,https://www.youtube.com/shorts/WVHw4-62rV4
9,00:18 -> 00:22,said it was his goal to capture,"ասաց, որ դա նրա նպատակն էր գրավել",,https://www.youtube.com/shorts/WVHw4-62rV4
10,00:21 -> 00:24,greatness like you can tell the,ինչպես դուք կարող եք ասել,,https://www.youtube.com/shorts/WVHw4-62rV4
11,00:22 -> 00:26,difference between someone just snapping,Ինչ-որ մեկի միջեւ տարբերությունը պարզապես փչում է,,https://www.youtube.com/shorts/WVHw4-62rV4
12,00:24 -> 00:28,a photo versus someone who understands,"լուսանկար, ընդդեմ ինչ-որ մեկի, ով հասկանում է",,https://www.youtube.com/shorts/WVHw4-62rV4
13,00:26 -> 00:30,what exactly makes that person great and,Ինչն է դա դարձնում այդ մարդուն մեծ եւ,,https://www.youtube.com/shorts/WVHw4-62rV4
14,00:28 -> 00:33,to understand a person believed that it,"հասկանալ, որ մարդը հավատում էր, որ դա",,https://www.youtube.com/shorts/WVHw4-62rV4
15,00:30 -> 00:35,takes respect and time like he spent 6,հարգում է եւ ժամանակն անցկացրել է 6,,https://www.youtube.com/shorts/WVHw4-62rV4
16,00:33 -> 00:37,hours with Fidel smoking cigars before,ժամեր Fidel- ի հետ ծխախոտով ծխախոտ,,https://www.youtube.com/shorts/WVHw4-62rV4
17,00:35 -> 00:40,he was able to pull this Moment of Truth,Նա կարողացավ քաշել ճշմարտության այս պահը,,https://www.youtube.com/shorts/WVHw4-62rV4
18,00:37 -> 00:42,out of him and for chst Pablo Cals ksh,Նրանից դուրս եւ chst pablo cals ksh,,https://www.youtube.com/shorts/WVHw4-62rV4
19,00:40 -> 00:44,saw that what made him great was his,"տեսավ, որ այն, ինչը նրան մեծ դարձավ",,https://www.youtube.com/shorts/WVHw4-62rV4
20,00:42 -> 00:46,dedication so his portrait doesn't even,"Նվիրում, որպեսզի նրա դիմանկարը նույնիսկ չի",,https://www.youtube.com/shorts/WVHw4-62rV4
21,00:44 -> 00:47,show his face which is way different,"ցույց տալ դեմքը, որը տարբեր է",,https://www.youtube.com/shorts/WVHw4-62rV4
22,00:46 -> 00:50,than the way you would photograph an,"քան այն ճանապարհը, որով դուք կկարողանաք լուսանկարել",,https://www.youtube.com/shorts/WVHw4-62rV4
23,00:47 -> 00:51,artist whose passion makes them great,"Նկարիչ, որի կիրքը նրանց մեծացնում է",,https://www.youtube.com/shorts/WVHw4-62rV4
24,00:50 -> 00:54,celebrity portraits these days can be,Այս օրերին հայտնիության դիմանկարներ կարող են լինել,,https://www.youtube.com/shorts/WVHw4-62rV4
25,00:51 -> 00:55,Lush and visually interesting but it's,"Փարթամ եւ տեսողականորեն հետաքրքիր է, բայց դա է",,https://www.youtube.com/shorts/WVHw4-62rV4
26,00:54 -> 00:57,really special when the photographer,"իսկապես հատուկ է, երբ լուսանկարիչը",,https://www.youtube.com/shorts/WVHw4-62rV4
27,00:55 -> 01:01,knows how to capture that unique thing,"գիտի, թե ինչպես կարելի է գրավել այդ եզակի բանը",,https://www.youtube.com/shorts/WVHw4-62rV4
